,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1,2003,6,17,2,1310,1255,1612,1615,AA,1362,N4YPAA,122,140,93,-3,15,ORD,JFK,740,6,23,0,N,0,,,,,
2,2003,6,20,5,1303,1255,1623,1615,AA,1362,N4XBAA,140,140,100,8,8,ORD,JFK,740,11,29,0,N,0,,,,,
3,2003,6,22,7,1325,1255,1953,1615,AA,1362,N569AA,328,140,113,218,30,ORD,JFK,740,9,206,0,N,0,0,0,218,0,0
4,2003,6,23,1,1328,1255,1655,1615,AA,1362,N4YUAA,147,140,107,40,33,ORD,JFK,740,8,32,0,N,0,0,0,40,0,0
5,2003,6,25,3,1307,1255,1620,1615,AA,1362,N519AA,133,140,101,5,12,ORD,JFK,740,12,20,0,N,0,,,,,
6,2003,6,5,4,1208,1155,1459,1455,AA,1363,N4YTAA,231,240,213,4,13,BOS,DFW,1562,7,11,0,N,0,,,,,
7,2003,6,7,6,1207,1155,1451,1455,AA,1363,N593AA,224,240,203,-4,12,BOS,DFW,1562,4,17,0,N,0,,,,,
8,2003,6,8,7,1206,1155,1445,1455,AA,1363,N4WAAA,219,240,204,-10,11,BOS,DFW,1562,5,10,0,N,0,,,,,
9,2003,6,15,7,1202,1155,1504,1455,AA,1363,N589AA,242,240,216,9,7,BOS,DFW,1562,8,18,0,N,0,,,,,
10,2003,6,23,1,1207,1155,1513,1455,AA,1363,N4XNAA,246,240,215,18,12,BOS,DFW,1562,11,20,0,N,0,8,0,6,0,4
11,2003,6,28,6,1209,1155,1511,1455,AA,1363,N4XCAA,242,240,209,16,14,BOS,DFW,1562,18,15,0,N,0,0,0,2,0,14
12,2003,6,2,1,1726,1715,2024,2005,AA,1366,N584AA,118,110,77,19,11,COS,DFW,592,19,22,0,N,0,0,0,8,0,11
13,2003,6,6,5,1748,1715,2029,2005,AA,1366,N462AA,101,110,82,24,33,COS,DFW,592,8,11,0,N,0,0,0,0,0,24
14,2003,6,9,1,1828,1715,2109,2005,AA,1366,N530AA,101,110,80,64,73,COS,DFW,592,7,14,0,N,0,0,0,3,0,61
15,2003,6,14,6,1724,1715,1958,2005,AA,1366,N541AA,94,110,72,-7,9,COS,DFW,592,9,13,0,N,0,,,,,
16,2003,6,16,1,1747,1715,2042,2005,AA,1366,N522AA,115,110,77,37,32,COS,DFW,592,26,12,0,N,0,0,0,5,0,32
